------------------在性能统计中检查CSC3300的335674320 模块CPU平均占用率大于60%------------------
获取数据失败
Connection to Sybase server has been lost. All active transactions have been rolled back
------------------在性能统计中查询1056974608 CPU平均占用率测量结果大于80%------------------
无
------------------在性能统计中查询1056974658 单板内存占用率测量结果大于85%------------------
开始时间	结束时间	单板内存平均占用率	网元名称	位置	位置名称	
------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
------------------在性能统计中查询PSBC接通率------------------
StartTime	EndTime	网元名	PSBC接通率	
------------------在性能统计中查询PSBC注册成功率------------------
StartTime	EndTime	网元名	PSBC初始注册成功率	PSBC重注册成功率	
------------------在性能统计中查询CSCF接通率------------------
StartTime	EndTime	网元名	CSCF接通率	CSCF MO接通率	CSCF MT接通率	
2017/12/20 6:00:00	2017/12/20 6:15:00	HZISBG09BHW	85.248	82.523	87.422	
2017/12/20 6:00:00	2017/12/20 6:15:00	HZISBG12BHW	86.852	83.704	89.515	
2017/12/20 6:15:00	2017/12/20 6:30:00	HZISBG09BHW	86.258	83.519	88.481	
2017/12/20 6:15:00	2017/12/20 6:30:00	HZISBG12BHW	87.669	84.753	90.143	
2017/12/20 6:30:00	2017/12/20 6:45:00	HZISBG09BHW	87.588	85.168	89.602	
2017/12/20 6:30:00	2017/12/20 6:45:00	HZISBG12BHW	88.371	85.362	90.974	
2017/12/20 6:45:00	2017/12/20 7:00:00	HZISBG09BHW	88.167	85.38	90.474	
2017/12/20 6:45:00	2017/12/20 7:00:00	HZISBG12BHW	88.907	85.718	91.672	
2017/12/20 7:00:00	2017/12/20 7:15:00	HZISBG09BHW	88.444	85.338	90.998	
2017/12/20 7:00:00	2017/12/20 7:15:00	HZISBG12BHW	90.039	87.268	92.419	
2017/12/20 7:15:00	2017/12/20 7:30:00	HZISBG09BHW	88.749	86.141	90.911	
2017/12/20 7:15:00	2017/12/20 7:30:00	HZISBG12BHW	90.295	87.523	92.706	
2017/12/20 7:30:00	2017/12/20 7:45:00	HZISBG09BHW	89.448	86.907	91.559	
2017/12/20 7:30:00	2017/12/20 7:45:00	HZISBG12BHW	90.682	88.044	92.968	
2017/12/20 7:45:00	2017/12/20 8:00:00	HZISBG09BHW	89.824	87.398	91.84	
2017/12/20 7:45:00	2017/12/20 8:00:00	HZISBG12BHW	90.807	88.272	92.999	
2017/12/20 8:00:00	2017/12/20 8:15:00	HZISBG09BHW	90.134	87.381	92.379	
2017/12/20 8:00:00	2017/12/20 8:15:00	HZISBG12BHW	90.933	88.58	92.95	
2017/12/20 8:15:00	2017/12/20 8:30:00	HZISBG09BHW	90.062	87.289	92.283	
2017/12/20 8:15:00	2017/12/20 8:30:00	HZISBG12BHW	91.191	88.709	93.298	
2017/12/20 8:30:00	2017/12/20 8:45:00	HZISBG09BHW	89.946	87.196	92.111	
2017/12/20 8:30:00	2017/12/20 8:45:00	HZISBG12BHW	91.055	88.59	93.117	
2017/12/20 8:45:00	2017/12/20 9:00:00	HZISBG09BHW	89.693	86.906	91.807	
2017/12/20 8:45:00	2017/12/20 9:00:00	HZISBG12BHW	90.864	88.256	92.974	
2017/12/20 9:00:00	2017/12/20 9:15:00	HZISBG09BHW	89.493	86.338	91.795	
2017/12/20 9:00:00	2017/12/20 9:15:00	HZISBG12BHW	90.582	87.956	92.668	
2017/12/20 9:15:00	2017/12/20 9:30:00	HZISBG09BHW	89.4	86.116	91.76	
2017/12/20 9:15:00	2017/12/20 9:30:00	HZISBG12BHW	90.512	87.64	92.753	
2017/12/20 9:30:00	2017/12/20 9:45:00	HZISBG09BHW	89.098	85.707	91.462	
2017/12/20 9:30:00	2017/12/20 9:45:00	HZISBG12BHW	90.47	87.659	92.62	
2017/12/20 9:45:00	2017/12/20 10:00:00	HZISBG09BHW	88.945	85.528	91.292	
2017/12/20 9:45:00	2017/12/20 10:00:00	HZISBG12BHW	90.573	87.627	92.834	
2017/12/20 10:00:00	2017/12/20 10:15:00	HZISBG09BHW	89.21	85.699	91.666	
2017/12/20 10:00:00	2017/12/20 10:15:00	HZISBG12BHW	90.369	87.289	92.726	
2017/12/20 10:15:00	2017/12/20 10:30:00	HZISBG09BHW	88.945	85.344	91.439	
2017/12/20 10:15:00	2017/12/20 10:30:00	HZISBG12BHW	90.217	87.025	92.633	
2017/12/20 10:30:00	2017/12/20 10:45:00	HZISBG09BHW	89.134	85.657	91.547	
2017/12/20 10:30:00	2017/12/20 10:45:00	HZISBG12BHW	90.271	87.204	92.622	
2017/12/20 10:45:00	2017/12/20 11:00:00	HZISBG09BHW	89.253	85.649	91.741	
2017/12/20 10:45:00	2017/12/20 11:00:00	HZISBG12BHW	90.404	87.448	92.669	
2017/12/20 11:00:00	2017/12/20 11:15:00	HZISBG09BHW	89.381	86.028	91.698	
2017/12/20 11:00:00	2017/12/20 11:15:00	HZISBG12BHW	90.643	87.757	92.855	
2017/12/20 11:15:00	2017/12/20 11:30:00	HZISBG09BHW	89.255	85.897	91.601	
2017/12/20 11:15:00	2017/12/20 11:30:00	HZISBG12BHW	90.833	87.858	93.1	
2017/12/20 11:30:00	2017/12/20 11:45:00	HZISBG09BHW	89.685	86.41	92.017	
2017/12/20 11:30:00	2017/12/20 11:45:00	HZISBG12BHW	90.962	88.207	93.143	
2017/12/20 11:45:00	2017/12/20 12:00:00	HZISBG09BHW	89.41	86.111	91.827	
2017/12/20 11:45:00	2017/12/20 12:00:00	HZISBG12BHW	90.89	88.113	93.109	
2017/12/20 12:00:00	2017/12/20 12:15:00	HZISBG09BHW	89.877	87.085	92.113	
2017/12/20 12:00:00	2017/12/20 12:15:00	HZISBG12BHW	90.93	88.435	93.033	
2017/12/20 12:15:00	2017/12/20 12:30:00	HZISBG09BHW	90.019	87.224	92.264	
2017/12/20 12:15:00	2017/12/20 12:30:00	HZISBG12BHW	91.019	88.526	93.12	
2017/12/20 12:30:00	2017/12/20 12:45:00	HZISBG09BHW	89.839	87.083	92.053	
2017/12/20 12:30:00	2017/12/20 12:45:00	HZISBG12BHW	90.848	88.319	93.008	
2017/12/20 12:45:00	2017/12/20 13:00:00	HZISBG09BHW	89.699	86.965	91.914	
2017/12/20 12:45:00	2017/12/20 13:00:00	HZISBG12BHW	90.55	88.215	92.524	
2017/12/20 13:00:00	2017/12/20 13:15:00	HZISBG09BHW	89.658	86.785	91.878	
2017/12/20 13:00:00	2017/12/20 13:15:00	HZISBG12BHW	90.908	88.274	93.089	
2017/12/20 13:15:00	2017/12/20 13:30:00	HZISBG09BHW	89.496	86.548	91.724	
2017/12/20 13:15:00	2017/12/20 13:30:00	HZISBG12BHW	90.857	88.197	93.019	
2017/12/20 13:30:00	2017/12/20 13:45:00	HZISBG09BHW	89.307	86.091	91.604	
2017/12/20 13:30:00	2017/12/20 13:45:00	HZISBG12BHW	90.772	88.119	92.867	
2017/12/20 13:45:00	2017/12/20 14:00:00	HZISBG09BHW	89.305	85.875	91.698	
2017/12/20 13:45:00	2017/12/20 14:00:00	HZISBG12BHW	90.716	87.978	92.856	
2017/12/20 14:00:00	2017/12/20 14:15:00	HZISBG09BHW	89.002	85.42	91.466	
2017/12/20 14:00:00	2017/12/20 14:15:00	HZISBG12BHW	90.345	87.369	92.628	
2017/12/20 14:15:00	2017/12/20 14:30:00	HZISBG09BHW	89.286	85.742	91.697	
2017/12/20 14:15:00	2017/12/20 14:30:00	HZISBG12BHW	90.553	87.647	92.763	
2017/12/20 14:30:00	2017/12/20 14:45:00	HZISBG09BHW	89.213	85.847	91.493	
2017/12/20 14:30:00	2017/12/20 14:45:00	HZISBG12BHW	90.635	87.699	92.854	
2017/12/20 14:45:00	2017/12/20 15:00:00	HZISBG09BHW	89.292	85.737	91.703	
2017/12/20 14:45:00	2017/12/20 15:00:00	HZISBG12BHW	90.524	87.638	92.726	
2017/12/20 15:00:00	2017/12/20 15:15:00	HZISBG09BHW	89.295	85.716	91.742	
2017/12/20 15:00:00	2017/12/20 15:15:00	HZISBG12BHW	90.536	87.695	92.724	
2017/12/20 15:15:00	2017/12/20 15:30:00	HZISBG09BHW	89.369	85.938	91.738	
2017/12/20 15:15:00	2017/12/20 15:30:00	HZISBG12BHW	90.705	87.928	92.826	
2017/12/20 15:30:00	2017/12/20 15:45:00	HZISBG09BHW	89.529	86.166	91.857	
2017/12/20 15:30:00	2017/12/20 15:45:00	HZISBG12BHW	90.58	87.775	92.727	
2017/12/20 15:45:00	2017/12/20 16:00:00	HZISBG09BHW	89.378	86.086	91.667	
2017/12/20 15:45:00	2017/12/20 16:00:00	HZISBG12BHW	90.504	87.745	92.634	
2017/12/20 16:00:00	2017/12/20 16:15:00	HZISBG09BHW	89.334	85.895	91.743	
2017/12/20 16:00:00	2017/12/20 16:15:00	HZISBG12BHW	90.713	88.037	92.798	
2017/12/20 16:15:00	2017/12/20 16:30:00	HZISBG09BHW	89.433	86.146	91.731	
2017/12/20 16:15:00	2017/12/20 16:30:00	HZISBG12BHW	90.798	88.111	92.878	
2017/12/20 16:30:00	2017/12/20 16:45:00	HZISBG09BHW	89.468	86.202	91.778	
2017/12/20 16:30:00	2017/12/20 16:45:00	HZISBG12BHW	90.851	88.27	92.874	
2017/12/20 16:45:00	2017/12/20 17:00:00	HZISBG09BHW	89.534	86.295	91.858	
2017/12/20 16:45:00	2017/12/20 17:00:00	HZISBG12BHW	90.654	88.026	92.724	
2017/12/20 17:00:00	2017/12/20 17:15:00	HZISBG09BHW	89.826	86.861	92.015	
2017/12/20 17:00:00	2017/12/20 17:15:00	HZISBG12BHW	90.905	88.381	92.93	
2017/12/20 17:15:00	2017/12/20 17:30:00	HZISBG09BHW	89.625	86.511	91.915	
2017/12/20 17:15:00	2017/12/20 17:30:00	HZISBG12BHW	90.853	88.246	92.962	
2017/12/20 17:30:00	2017/12/20 17:45:00	HZISBG09BHW	89.573	86.753	91.72	
2017/12/20 17:30:00	2017/12/20 17:45:00	HZISBG12BHW	90.788	88.207	92.893	
2017/12/20 17:45:00	2017/12/20 18:00:00	HZISBG09BHW	89.33	86.441	91.55	
2017/12/20 17:45:00	2017/12/20 18:00:00	HZISBG12BHW	90.535	87.849	92.748	
2017/12/20 18:00:00	2017/12/20 18:15:00	HZISBG09BHW	89.181	86.373	91.391	
2017/12/20 18:00:00	2017/12/20 18:15:00	HZISBG12BHW	90.471	87.901	92.628	
2017/12/20 18:15:00	2017/12/20 18:30:00	HZISBG09BHW	88.722	85.854	90.995	
2017/12/20 18:15:00	2017/12/20 18:30:00	HZISBG12BHW	89.85	87.076	92.17	
2017/12/20 18:30:00	2017/12/20 18:45:00	HZISBG09BHW	88.391	85.391	90.77	
2017/12/20 18:30:00	2017/12/20 18:45:00	HZISBG12BHW	89.376	86.298	91.967	
2017/12/20 18:45:00	2017/12/20 19:00:00	HZISBG09BHW	88.35	85.445	90.632	
2017/12/20 18:45:00	2017/12/20 19:00:00	HZISBG12BHW	89.313	86.407	91.75	
2017/12/20 19:00:00	2017/12/20 19:15:00	HZISBG09BHW	87.343	84.238	89.813	
2017/12/20 19:00:00	2017/12/20 19:15:00	HZISBG12BHW	88.772	85.546	91.494	
2017/12/20 19:15:00	2017/12/20 19:30:00	HZISBG09BHW	87.764	84.722	90.152	
