------------------在性能统计中检查CSC3300的335674320 模块CPU平均占用率大于60%------------------
获取数据失败
Connection to Sybase server has been lost. All active transactions have been rolled back
------------------在性能统计中查询1056974608 CPU平均占用率测量结果大于80%------------------
无
------------------在性能统计中查询1056974658 单板内存占用率测量结果大于85%------------------
开始时间	结束时间	单板内存平均占用率	网元名称	位置	位置名称	
------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
------------------在性能统计中查询PSBC接通率------------------
StartTime	EndTime	网元名	PSBC接通率	
2017/12/20 8:30:00	2017/12/20 8:45:00	HZPSBC14BHW	93.044	
2017/12/20 8:45:00	2017/12/20 9:00:00	HZPSBC13BHW	93.072	
2017/12/20 8:45:00	2017/12/20 9:00:00	HZPSBC14BHW	93.061	
2017/12/20 9:00:00	2017/12/20 9:15:00	HZPSBC13BHW	93.017	
2017/12/20 9:00:00	2017/12/20 9:15:00	HZPSBC14BHW	92.957	
2017/12/20 9:15:00	2017/12/20 9:30:00	HZPSBC13BHW	92.923	
2017/12/20 9:15:00	2017/12/20 9:30:00	HZPSBC14BHW	92.953	
2017/12/20 9:30:00	2017/12/20 9:45:00	HZPSBC13BHW	93.043	
2017/12/20 9:30:00	2017/12/20 9:45:00	HZPSBC14BHW	92.926	
2017/12/20 9:45:00	2017/12/20 10:00:00	HZPSBC13BHW	92.925	
2017/12/20 9:45:00	2017/12/20 10:00:00	HZPSBC14BHW	92.955	
2017/12/20 10:00:00	2017/12/20 10:15:00	HZPSBC13BHW	92.893	
2017/12/20 10:00:00	2017/12/20 10:15:00	HZPSBC14BHW	92.881	
2017/12/20 10:15:00	2017/12/20 10:30:00	HZPSBC13BHW	92.921	
2017/12/20 10:15:00	2017/12/20 10:30:00	HZPSBC14BHW	92.894	
2017/12/20 10:30:00	2017/12/20 10:45:00	HZPSBC13BHW	92.955	
2017/12/20 10:30:00	2017/12/20 10:45:00	HZPSBC14BHW	92.834	
2017/12/20 10:45:00	2017/12/20 11:00:00	HZPSBC13BHW	92.987	
2017/12/20 10:45:00	2017/12/20 11:00:00	HZPSBC14BHW	92.982	
2017/12/20 11:00:00	2017/12/20 11:15:00	HZPSBC13BHW	93.037	
2017/12/20 11:00:00	2017/12/20 11:15:00	HZPSBC14BHW	93.011	
2017/12/20 11:15:00	2017/12/20 11:30:00	HZPSBC13BHW	93.07	
2017/12/20 11:15:00	2017/12/20 11:30:00	HZPSBC14BHW	93.064	
2017/12/20 11:30:00	2017/12/20 11:45:00	HZPSBC13BHW	93.026	
2017/12/20 11:30:00	2017/12/20 11:45:00	HZPSBC14BHW	92.937	
2017/12/20 11:45:00	2017/12/20 12:00:00	HZPSBC13BHW	92.946	
2017/12/20 11:45:00	2017/12/20 12:00:00	HZPSBC14BHW	92.884	
2017/12/20 12:00:00	2017/12/20 12:15:00	HZPSBC13BHW	92.871	
2017/12/20 12:00:00	2017/12/20 12:15:00	HZPSBC14BHW	92.779	
2017/12/20 12:15:00	2017/12/20 12:30:00	HZPSBC13BHW	92.672	
2017/12/20 12:15:00	2017/12/20 12:30:00	HZPSBC14BHW	92.777	
2017/12/20 12:30:00	2017/12/20 12:45:00	HZPSBC13BHW	92.74	
2017/12/20 12:30:00	2017/12/20 12:45:00	HZPSBC14BHW	92.61	
2017/12/20 12:45:00	2017/12/20 13:00:00	HZPSBC13BHW	92.499	
2017/12/20 12:45:00	2017/12/20 13:00:00	HZPSBC14BHW	92.69	
2017/12/20 13:00:00	2017/12/20 13:15:00	HZPSBC13BHW	92.57	
2017/12/20 13:00:00	2017/12/20 13:15:00	HZPSBC14BHW	92.867	
2017/12/20 13:15:00	2017/12/20 13:30:00	HZPSBC13BHW	92.743	
